nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
areas,include,includes,"areas of study include the law of energy conservation , the ideal gas law , specific heat capacities , adiabatic processes ( in which entropy is conserved ) , and moist adiabatic processes .","areas of study [MASK] the law of energy conservation , the ideal gas law , specific heat capacities , adiabatic processes ( in which entropy is conserved ) , and moist adiabatic processes .",include,include,34,3,1,0,3,1,1,,
barriers,include,includes,"typical environmental barriers in a metastatic event include physical ( a basement membrane ) , chemical ( reactive oxygen species or ros , hypoxia and low ph ) and biological ( immune surveillance , inhibitory cytokines and regulatory extra  cellular matrix ( ecm ) peptides ) components .","typical environmental barriers in a metastatic event [MASK] physical ( a basement membrane ) , chemical ( reactive oxygen species or ros , hypoxia and low ph ) and biological ( immune surveillance , inhibitory cytokines and regulatory extra  cellular matrix ( ecm ) peptides ) components .",include,include,49,5,1,0,7,1,1,,
services,make,makes,"its first  class services and hotel industry make it one of the most important centers in mexico with numerous opportunities for entertainment , gastronomy , leisure activities , arts and recreation .","its first  class services and hotel industry [MASK] it one of the most important centers in mexico with numerous opportunities for entertainment , gastronomy , leisure activities , arts and recreation .",make,makes,33,4,3,0,8,3,1,,
albums,contain,contains,albums for the video game wild arms contain music from the original title of the wild arms series developed by japanese software company media .,albums for the video game wild arms [MASK] music from the original title of the wild arms series developed by japanese software company media .,contain,contain,25,7,3,0,7,2,3,,
strategies,occur,occurs,"it is imagined that alternative strategies of the game occasionally occur , via a process like mutation .","it is imagined that alternative strategies of the game occasionally [MASK] , via a process like mutation .",occur,occur,18,5,1,1,10,1,2,,
inhabitants,believe,believes,"inhabitants of the village believe that the three women are lesbians , and that phoebe did not only kill her husband but also her parents .","inhabitants of the village [MASK] that the three women are lesbians , and that phoebe did not only kill her husband but also her parents .",believe,believe,26,4,1,0,4,1,1,,
points,have,has,"most grain receival points in the wheatbelt have combinations of historic structures that are still utilised , and new structures .","most grain receival points in the wheatbelt [MASK] combinations of historic structures that are still utilised , and new structures .",has,has,21,4,2,0,7,2,5,,
hopes,seem,seems,franklin 's hopes of winning the king 's support seem dashed when british forces capture philadelphia but rally when the colonists are victorious at saratoga .,franklin 's hopes of winning the king 's support [MASK] dashed when british forces capture philadelphia but rally when the colonists are victorious at saratoga .,seems,seems,26,7,2,1,9,2,1,,
credits,include,includes,"credits during this period include rab c nesbitt , the karen dunbar show , chewin ' the fat with ford kiernan and greg hemphill and then still game .","credits during this period [MASK] rab c nesbitt , the karen dunbar show , chewin ' the fat with ford kiernan and greg hemphill and then still game .",include,include,29,4,1,0,4,1,1,,
claims,need,needs,"you 're both aware that claims in an article , particularly if they are disputed , need to be supported by reliable references ( that is , a specific reference and not a search result ) .","you 're both aware that claims in an article , particularly if they are disputed , [MASK] to be supported by reliable references ( that is , a specific reference and not a search result ) .",need,need,37,11,1,2,16,1,8,,
finds,include,includes,"prehistoric finds from the site include the bison licking insect bite , a carving estimated 20 , 000 bc .","prehistoric finds from the site [MASK] the bison licking insect bite , a carving estimated 20 , 000 bc .",include,include,20,4,1,1,5,1,1,,
students,have,has,students who have not received general upper secondary education have the academic portion of their program financed by the state .,students who have not received general upper secondary education [MASK] the academic portion of their program financed by the state .,have,have,21,9,1,1,9,1,1,,
details,remain,remains,the exact details of ingra 's plot remain unknown as the crossgen company went bankrupt and the series came to a halt .,the exact details of ingra 's plot [MASK] unknown as the crossgen company went bankrupt and the series came to a halt .,remains,remains,23,5,1,0,7,1,1,,
types,carry,carries,different types of smokeless tobacco carry different risk profiles .,different types of smokeless tobacco [MASK] different risk profiles .,carry,carry,10,4,2,0,5,2,1,,
remnants,remain,remains,remnants of the lock still remain as a local park .,remnants of the lock still [MASK] as a local park .,remain,remain,11,5,1,0,5,1,2,,
characters,have,has,"characters from the previous film , such as falkor ( voiced by donald arthur ) and rock biter , have minor roles in this film .","characters from the previous film , such as falkor ( voiced by donald arthur ) and rock biter , [MASK] minor roles in this film .",have,have,26,19,3,1,19,3,2,,
walls,connect,connects,two low walls on either side of the garden connect the main hall in front to the houses in the rear of the property .,two low walls on either side of the garden [MASK] the main hall in front to the houses in the rear of the property .,connect,connect,25,7,2,0,9,2,1,,
fragments,remain,remains,"fragments of the meteorite remain within the yale meteorite collection , which is the oldest such collection in the united states .","fragments of the meteorite [MASK] within the yale meteorite collection , which is the oldest such collection in the united states .",remains,remains,22,4,1,0,4,1,1,,
scholars,conclude,concludes,some scholars in the country conclude that it is due to the extreme poverty that the miskito people endure and that was worsened by hurricane felix of september 2007 .,some scholars in the country [MASK] that it is due to the extreme poverty that the miskito people endure and that was worsened by hurricane felix of september 2007 .,conclude,conclude,30,4,1,0,5,1,1,,
